,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,1896,Dcover Jcover-fuzz,time(Seconds):,2514,Jcover test verification on,time(Seconds):,3614
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.capacity,GroupCapacityPersistService.new RowMapper() {...},n/a,n/a,Could not find file,5,0,0.0,5,0,0.0,5,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.capacity,GroupCapacityPersistService.new PreparedStatementCreator() {...},n/a,n/a,Could not find file,13,0,0.0,13,0,0.0,13,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.capacity,GroupCapacityPersistService.GroupCapacityRowMapper,n/a,n/a,Could not find file,9,0,0.0,9,0,0.0,9,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.capacity,TenantCapacityPersistService.new RowMapper() {...},n/a,n/a,Could not find file,5,0,0.0,5,0,0.0,5,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.capacity,TenantCapacityPersistService.new PreparedStatementCreator() {...},n/a,n/a,Could not find file,12,0,0.0,12,0,0.0,12,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.capacity,TenantCapacityPersistService.new PreparedStatementCreator() {...},n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,4,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.capacity,CapacityService.new Runnable() {...},n/a,n/a,Could not find file,6,0,0.0,6,0,0.0,6,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,ConfigInfoBaseEx,,,,0,19,1.0,0,19,1.0,4,15,0.7894736842105263
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,User,,,,0,7,1.0,0,7,1.0,0,7,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,ConfigKey,,,,0,16,1.0,0,16,1.0,5,11,0.6875
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,ConfigInfoEx,,,,0,19,1.0,0,19,1.0,4,15,0.7894736842105263
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,SubInfo,,,,3,13,0.8125,3,13,0.8125,0,16,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,ConfigInfoAggr,,,,24,48,0.6666666666666666,24,48,0.6666666666666666,31,41,0.5694444444444444
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,AuthType,,,,5,0,0.0,5,0,0.0,0,5,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,SampleResult,,,,0,4,1.0,0,4,1.0,0,4,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,ConfigInfo,,,,0,22,1.0,0,22,1.0,4,18,0.8181818181818182
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,ConfigAllInfo,,,,0,34,1.0,0,34,1.0,1,33,0.9705882352941176
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,Page,,,,0,14,1.0,0,14,1.0,0,14,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,ConfigHistoryInfo,,,,6,35,0.8536585365853658,6,35,0.8536585365853658,0,41,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,GroupkeyListenserStatus,,,,0,7,1.0,0,7,1.0,0,7,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,ConfigInfo4Beta,,,,0,10,1.0,0,10,1.0,1,9,0.9
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,HistoryContext,,,,0,38,1.0,0,38,1.0,0,38,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,ConfigInfoWrapper,,,,0,7,1.0,0,7,1.0,1,6,0.8571428571428571
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,RestPageResult,,,,0,20,1.0,0,20,1.0,0,20,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,SubscriberStatus,,,,0,22,1.0,0,22,1.0,6,16,0.7272727272727273
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,CacheItem,,,,0,35,1.0,0,35,1.0,0,35,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,ConfigInfo4Tag,,,,0,10,1.0,0,10,1.0,1,9,0.9
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,ConfigInfoChanged,,,,14,26,0.65,14,26,0.65,19,21,0.525
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,RestResult,,,,0,24,1.0,0,24,1.0,0,24,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,GroupInfo,,,,19,29,0.6041666666666666,19,29,0.6041666666666666,24,24,0.5
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,TenantInfo,,,,0,10,1.0,0,10,1.0,0,10,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,ACLInfo,,,,0,7,1.0,0,7,1.0,0,7,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,SameConfigPolicy,,,,4,0,0.0,4,0,0.0,0,4,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,ConfigInfoBase,,,,52,40,0.43478260869565216,52,40,0.43478260869565216,33,59,0.6413043478260869
nacos-config 1.1.0,com.alibaba.nacos.config.server.model,ConfigAdvanceInfo,,,,0,31,1.0,0,31,1.0,0,31,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpProcessor,n/a,n/a,Could not find file,59,3,0.04838709677419355,59,3,0.04838709677419355,62,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpChangeTask,n/a,n/a,Could not find file,1,1,0.5,1,1,0.5,0,2,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpService.MergeAllDataWorker,n/a,n/a,Could not find file,40,0,0.0,40,0,0.0,40,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpChangeProcessor,n/a,n/a,Could not find file,45,6,0.11764705882352941,45,6,0.11764705882352941,51,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpService,true,,,91,37,0.2890625,91,37,0.2890625,128,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpAllBetaProcessor,n/a,n/a,Could not find file,16,4,0.2,16,4,0.2,20,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpTask,,,,1,24,0.96,1,24,0.96,16,9,0.36
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpAllProcessor,n/a,n/a,Could not find file,25,4,0.13793103448275862,25,4,0.13793103448275862,29,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpAllTagProcessor,n/a,n/a,Could not find file,16,4,0.2,16,4,0.2,20,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpAllTagTask,n/a,n/a,Could not find file,1,1,0.5,1,1,0.5,0,2,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpAllBetaTask,n/a,n/a,Could not find file,1,1,0.5,1,1,0.5,0,2,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpAllTask,n/a,n/a,Could not find file,1,1,0.5,1,1,0.5,0,2,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpService.new Runnable() {...},n/a,n/a,Could not find file,7,0,0.0,7,0,0.0,7,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpService.new Runnable() {...},n/a,n/a,Could not find file,16,1,0.058823529411764705,16,1,0.058823529411764705,17,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpService.new Runnable() {...},n/a,n/a,Could not find file,2,1,0.3333333333333333,2,1,0.3333333333333333,3,0,0.0
